"","MGI.ID","HGNC.ID","mp.description","GTEX.tissues","HPO.superclass.description","MP.Term","TS28.mutant.expression.detected","TPM >/= 0.1 TPM","TPM >/= 1 TPM"
"13","MGI:101791","HGNC:6132","digestive/alimentary phenotype","Small Intestine - Terminal Ileum","Abnormality of the digestive system","abnormal pancreatic acinar cell morphology","Yes","Yes","No"
"14","MGI:101791","HGNC:6132","endocrine/exocrine gland phenotype","Pituitary","Abnormality of the endocrine system","abnormal pancreas morphology","Yes","Yes","Yes"
"15","MGI:101791","HGNC:6132","endocrine/exocrine gland phenotype","Adrenal Gland","Abnormality of the endocrine system","abnormal pancreas morphology","Yes","No","No"
"16","MGI:101791","HGNC:6132","endocrine/exocrine gland phenotype","Thyroid","Abnormality of the endocrine system","abnormal pancreas morphology","Yes","Yes","No"
"17","MGI:101791","HGNC:6132","endocrine/exocrine gland phenotype","Pituitary","Abnormality of the endocrine system","abnormal pancreatic acinar cell morphology","Yes","Yes","Yes"
"18","MGI:101791","HGNC:6132","endocrine/exocrine gland phenotype","Adrenal Gland","Abnormality of the endocrine system","abnormal pancreatic acinar cell morphology","Yes","No","No"
"19","MGI:101791","HGNC:6132","endocrine/exocrine gland phenotype","Thyroid","Abnormality of the endocrine system","abnormal pancreatic acinar cell morphology","Yes","Yes","No"
"20","MGI:101791","HGNC:6132","nervous system phenotype","Brain - Hippocampus","Abnormality of the nervous system","abnormal spinal cord interneuron morphology","Yes","No","No"
"21","MGI:101791","HGNC:6132","nervous system phenotype","Brain - Amygdala","Abnormality of the nervous system","abnormal spinal cord interneuron morphology","Yes","No","No"
"22","MGI:101791","HGNC:6132","nervous system phenotype","Brain - Putamen (basal ganglia)","Abnormality of the nervous system","abnormal spinal cord interneuron morphology","Yes","Yes","Yes"
"23","MGI:101791","HGNC:6132","nervous system phenotype","Brain - Spinal cord (cervical c-1)","Abnormality of the nervous system","abnormal spinal cord interneuron morphology","Yes","No","No"
"24","MGI:101791","HGNC:6132","nervous system phenotype","Brain - Caudate (basal ganglia)","Abnormality of the nervous system","abnormal spinal cord interneuron morphology","Yes","Yes","Yes"
"25","MGI:101791","HGNC:6132","nervous system phenotype","Brain - Anterior cingulate cortex (BA24)","Abnormality of the nervous system","abnormal spinal cord interneuron morphology","Yes","No","No"
"26","MGI:101791","HGNC:6132","nervous system phenotype","Nerve - Tibial","Abnormality of the nervous system","abnormal spinal cord interneuron morphology","Yes","No","No"
"27","MGI:101791","HGNC:6132","nervous system phenotype","Pituitary","Abnormality of the nervous system","abnormal spinal cord interneuron morphology","Yes","Yes","Yes"
"28","MGI:101791","HGNC:6132","nervous system phenotype","Brain - Frontal Cortex (BA9)","Abnormality of the nervous system","abnormal spinal cord interneuron morphology","Yes","No","No"
"29","MGI:101791","HGNC:6132","nervous system phenotype","Brain - Substantia nigra","Abnormality of the nervous system","abnormal spinal cord interneuron morphology","Yes","No","No"
"30","MGI:101791","HGNC:6132","nervous system phenotype","Brain - Cortex","Abnormality of the nervous system","abnormal spinal cord interneuron morphology","Yes","No","No"
"31","MGI:101791","HGNC:6132","nervous system phenotype","Brain - Hypothalamus","Abnormality of the nervous system","abnormal spinal cord interneuron morphology","Yes","Yes","Yes"
"32","MGI:101791","HGNC:6132","nervous system phenotype","Brain - Cerebellum","Abnormality of the nervous system","abnormal spinal cord interneuron morphology","Yes","No","No"
"33","MGI:101791","HGNC:6132","nervous system phenotype","Brain - Nucleus accumbens (basal ganglia)","Abnormality of the nervous system","abnormal spinal cord interneuron morphology","Yes","Yes","Yes"
"34","MGI:101791","HGNC:6132","nervous system phenotype","Brain - Cerebellar Hemisphere","Abnormality of the nervous system","abnormal spinal cord interneuron morphology","Yes","No","No"
"35","MGI:101864","HGNC:2666","muscle phenotype","Muscle - Skeletal","Abnormality of the musculature","dystrophic muscle","Yes","Yes","Yes"
"36","MGI:101926","HGNC:2918","craniofacial phenotype","Minor Salivary Gland","Abnormality of head or neck","abnormal pharyngeal arch morphology","Yes","Yes","Yes"
"37","MGI:101926","HGNC:2918","craniofacial phenotype","Minor Salivary Gland","Abnormality of head or neck","fused pharyngeal arches","Yes","Yes","Yes"
"38","MGI:101926","HGNC:2918","nervous system phenotype","Brain - Substantia nigra","Abnormality of the nervous system","exencephaly","Yes","Yes","No"
"39","MGI:101926","HGNC:2918","nervous system phenotype","Brain - Putamen (basal ganglia)","Abnormality of the nervous system","exencephaly","Yes","Yes","Yes"
"40","MGI:101926","HGNC:2918","nervous system phenotype","Brain - Spinal cord (cervical c-1)","Abnormality of the nervous system","exencephaly","Yes","Yes","No"
"41","MGI:101926","HGNC:2918","nervous system phenotype","Brain - Cortex","Abnormality of the nervous system","exencephaly","Yes","Yes","Yes"
"42","MGI:101926","HGNC:2918","nervous system phenotype","Brain - Cerebellum","Abnormality of the nervous system","exencephaly","Yes","No","No"
"43","MGI:101926","HGNC:2918","nervous system phenotype","Pituitary","Abnormality of the nervous system","exencephaly","Yes","Yes","No"
"44","MGI:101926","HGNC:2918","nervous system phenotype","Brain - Frontal Cortex (BA9)","Abnormality of the nervous system","exencephaly","Yes","Yes","Yes"
"45","MGI:101926","HGNC:2918","nervous system phenotype","Brain - Caudate (basal ganglia)","Abnormality of the nervous system","exencephaly","Yes","Yes","Yes"
"46","MGI:101926","HGNC:2918","nervous system phenotype","Nerve - Tibial","Abnormality of the nervous system","exencephaly","Yes","Yes","Yes"
"47","MGI:101926","HGNC:2918","nervous system phenotype","Brain - Cerebellar Hemisphere","Abnormality of the nervous system","exencephaly","Yes","No","No"
"48","MGI:101926","HGNC:2918","nervous system phenotype","Brain - Hippocampus","Abnormality of the nervous system","exencephaly","Yes","Yes","Yes"
"49","MGI:101926","HGNC:2918","nervous system phenotype","Brain - Amygdala","Abnormality of the nervous system","exencephaly","Yes","Yes","Yes"
"50","MGI:101926","HGNC:2918","nervous system phenotype","Brain - Hypothalamus","Abnormality of the nervous system","exencephaly","Yes","Yes","Yes"
"51","MGI:101926","HGNC:2918","nervous system phenotype","Brain - Nucleus accumbens (basal ganglia)","Abnormality of the nervous system","exencephaly","Yes","Yes","Yes"
"52","MGI:101926","HGNC:2918","nervous system phenotype","Brain - Anterior cingulate cortex (BA24)","Abnormality of the nervous system","exencephaly","Yes","Yes","Yes"
"53","MGI:102551","HGNC:1591","growth/size/body region phenotype","Muscle - Skeletal","Abnormality of the skeletal system","decreased embryo size","No","Yes","Yes"
"54","MGI:102709","HGNC:1527","cardiovascular system phenotype","Artery - Aorta","Abnormality of the cardiovascular system","increased vascular permeability","Yes","Yes","Yes"
"55","MGI:102709","HGNC:1527","cardiovascular system phenotype","Artery - Tibial","Abnormality of the cardiovascular system","increased vascular permeability","Yes","Yes","Yes"
"56","MGI:102709","HGNC:1527","cardiovascular system phenotype","Heart - Left Ventricle","Abnormality of the cardiovascular system","increased vascular permeability","Yes","Yes","Yes"
"57","MGI:102709","HGNC:1527","cardiovascular system phenotype","Heart - Atrial Appendage","Abnormality of the cardiovascular system","increased vascular permeability","Yes","Yes","Yes"
"58","MGI:102709","HGNC:1527","cardiovascular system phenotype","Artery - Coronary","Abnormality of the cardiovascular system","increased vascular permeability","Yes","Yes","Yes"
"59","MGI:102720","HGNC:3180","homeostasis/metabolism phenotype","Whole Blood","Abnormality of metabolism/homeostasis","decreased response of heart to induced stress","Yes","Yes","No"
"60","MGI:102720","HGNC:3180","cardiovascular system phenotype","Heart - Atrial Appendage","Abnormality of the cardiovascular system","decreased response of heart to induced stress","Yes","Yes","Yes"
"61","MGI:102720","HGNC:3180","cardiovascular system phenotype","Artery - Coronary","Abnormality of the cardiovascular system","decreased response of heart to induced stress","Yes","Yes","Yes"
"62","MGI:102720","HGNC:3180","cardiovascular system phenotype","Artery - Tibial","Abnormality of the cardiovascular system","decreased response of heart to induced stress","Yes","Yes","Yes"
"63","MGI:102720","HGNC:3180","cardiovascular system phenotype","Heart - Left Ventricle","Abnormality of the cardiovascular system","decreased response of heart to induced stress","Yes","Yes","Yes"
"64","MGI:102720","HGNC:3180","cardiovascular system phenotype","Artery - Aorta","Abnormality of the cardiovascular system","decreased response of heart to induced stress","Yes","Yes","Yes"
"65","MGI:102720","HGNC:3180","nervous system phenotype","Brain - Frontal Cortex (BA9)","Abnormality of the nervous system","abnormal brain morphology","Yes","Yes","Yes"
"66","MGI:102720","HGNC:3180","nervous system phenotype","Brain - Nucleus accumbens (basal ganglia)","Abnormality of the nervous system","abnormal brain morphology","Yes","Yes","Yes"
"67","MGI:102720","HGNC:3180","nervous system phenotype","Pituitary","Abnormality of the nervous system","abnormal brain morphology","Yes","Yes","Yes"
"68","MGI:102720","HGNC:3180","nervous system phenotype","Brain - Hypothalamus","Abnormality of the nervous system","abnormal brain morphology","Yes","Yes","Yes"
"69","MGI:102720","HGNC:3180","nervous system phenotype","Brain - Cerebellum","Abnormality of the nervous system","abnormal brain morphology","Yes","Yes","Yes"
"70","MGI:102720","HGNC:3180","nervous system phenotype","Brain - Substantia nigra","Abnormality of the nervous system","abnormal brain morphology","Yes","Yes","Yes"
"71","MGI:102720","HGNC:3180","nervous system phenotype","Brain - Hippocampus","Abnormality of the nervous system","abnormal brain morphology","Yes","Yes","Yes"
"72","MGI:102720","HGNC:3180","nervous system phenotype","Brain - Anterior cingulate cortex (BA24)","Abnormality of the nervous system","abnormal brain morphology","Yes","Yes","Yes"
"73","MGI:102720","HGNC:3180","nervous system phenotype","Nerve - Tibial","Abnormality of the nervous system","abnormal brain morphology","Yes","Yes","Yes"
"74","MGI:102720","HGNC:3180","nervous system phenotype","Brain - Amygdala","Abnormality of the nervous system","abnormal brain morphology","Yes","Yes","Yes"
"75","MGI:102720","HGNC:3180","nervous system phenotype","Brain - Cortex","Abnormality of the nervous system","abnormal brain morphology","Yes","Yes","Yes"
"76","MGI:102720","HGNC:3180","nervous system phenotype","Brain - Putamen (basal ganglia)","Abnormality of the nervous system","abnormal brain morphology","Yes","Yes","Yes"
"77","MGI:102720","HGNC:3180","nervous system phenotype","Brain - Caudate (basal ganglia)","Abnormality of the nervous system","abnormal brain morphology","Yes","Yes","Yes"
"78","MGI:102720","HGNC:3180","nervous system phenotype","Brain - Cerebellar Hemisphere","Abnormality of the nervous system","abnormal brain morphology","Yes","Yes","Yes"
"79","MGI:102720","HGNC:3180","nervous system phenotype","Brain - Spinal cord (cervical c-1)","Abnormality of the nervous system","abnormal brain morphology","Yes","Yes","Yes"
"80","MGI:102720","HGNC:3180","nervous system phenotype","Brain - Frontal Cortex (BA9)","Abnormality of the nervous system","abnormal enteric nervous system morphology","Yes","Yes","Yes"
"81","MGI:102720","HGNC:3180","nervous system phenotype","Brain - Nucleus accumbens (basal ganglia)","Abnormality of the nervous system","abnormal enteric nervous system morphology","Yes","Yes","Yes"
"82","MGI:102720","HGNC:3180","nervous system phenotype","Pituitary","Abnormality of the nervous system","abnormal enteric nervous system morphology","Yes","Yes","Yes"
"83","MGI:102720","HGNC:3180","nervous system phenotype","Brain - Hypothalamus","Abnormality of the nervous system","abnormal enteric nervous system morphology","Yes","Yes","Yes"
"84","MGI:102720","HGNC:3180","nervous system phenotype","Brain - Cerebellum","Abnormality of the nervous system","abnormal enteric nervous system morphology","Yes","Yes","Yes"
"85","MGI:102720","HGNC:3180","nervous system phenotype","Brain - Substantia nigra","Abnormality of the nervous system","abnormal enteric nervous system morphology","Yes","Yes","Yes"
"86","MGI:102720","HGNC:3180","nervous system phenotype","Brain - Hippocampus","Abnormality of the nervous system","abnormal enteric nervous system morphology","Yes","Yes","Yes"
"87","MGI:102720","HGNC:3180","nervous system phenotype","Brain - Anterior cingulate cortex (BA24)","Abnormality of the nervous system","abnormal enteric nervous system morphology","Yes","Yes","Yes"
"88","MGI:102720","HGNC:3180","nervous system phenotype","Nerve - Tibial","Abnormality of the nervous system","abnormal enteric nervous system morphology","Yes","Yes","Yes"
"89","MGI:102720","HGNC:3180","nervous system phenotype","Brain - Amygdala","Abnormality of the nervous system","abnormal enteric nervous system morphology","Yes","Yes","Yes"
"90","MGI:102720","HGNC:3180","nervous system phenotype","Brain - Cortex","Abnormality of the nervous system","abnormal enteric nervous system morphology","Yes","Yes","Yes"
"91","MGI:102720","HGNC:3180","nervous system phenotype","Brain - Putamen (basal ganglia)","Abnormality of the nervous system","abnormal enteric nervous system morphology","Yes","Yes","Yes"
"92","MGI:102720","HGNC:3180","nervous system phenotype","Brain - Caudate (basal ganglia)","Abnormality of the nervous system","abnormal enteric nervous system morphology","Yes","Yes","Yes"
"93","MGI:102720","HGNC:3180","nervous system phenotype","Brain - Cerebellar Hemisphere","Abnormality of the nervous system","abnormal enteric nervous system morphology","Yes","Yes","Yes"
"94","MGI:102720","HGNC:3180","nervous system phenotype","Brain - Spinal cord (cervical c-1)","Abnormality of the nervous system","abnormal enteric nervous system morphology","Yes","Yes","Yes"
"95","MGI:104556","HGNC:1784","integument phenotype","Skin - Sun Exposed (Lower leg)","Abnormality of the integument","increased skin tumor incidence","Yes","Yes","Yes"
"96","MGI:104556","HGNC:1784","integument phenotype","Skin - Not Sun Exposed (Suprapubic)","Abnormality of the integument","increased skin tumor incidence","Yes","Yes","Yes"
"97","MGI:104556","HGNC:1784","integument phenotype","Skin - Sun Exposed (Lower leg)","Abnormality of the integument","abnormal skin physiology","Yes","Yes","Yes"
"98","MGI:104556","HGNC:1784","integument phenotype","Skin - Not Sun Exposed (Suprapubic)","Abnormality of the integument","abnormal skin physiology","Yes","Yes","Yes"
"99","MGI:104565","HGNC:1785","endocrine/exocrine gland phenotype","Breast - Mammary Tissue","Abnormality of the breast","pituitary gland hyperplasia","Yes","Yes","Yes"
"100","MGI:104565","HGNC:1785","endocrine/exocrine gland phenotype","Breast - Mammary Tissue","Abnormality of the breast","increased pituitary gland tumor incidence","Yes","Yes","Yes"
"101","MGI:104565","HGNC:1785","endocrine/exocrine gland phenotype","Breast - Mammary Tissue","Abnormality of the breast","increased pituitary gland weight","Yes","Yes","Yes"
"102","MGI:104565","HGNC:1785","endocrine/exocrine gland phenotype","Breast - Mammary Tissue","Abnormality of the breast","enlarged pituitary gland","Yes","Yes","Yes"
"103","MGI:104565","HGNC:1785","endocrine/exocrine gland phenotype","Adrenal Gland","Abnormality of the endocrine system","enlarged pituitary gland","Yes","Yes","Yes"
"104","MGI:104565","HGNC:1785","endocrine/exocrine gland phenotype","Pituitary","Abnormality of the endocrine system","enlarged pituitary gland","Yes","Yes","Yes"
"105","MGI:104565","HGNC:1785","endocrine/exocrine gland phenotype","Thyroid","Abnormality of the endocrine system","enlarged pituitary gland","Yes","Yes","Yes"
"106","MGI:104565","HGNC:1785","endocrine/exocrine gland phenotype","Adrenal Gland","Abnormality of the endocrine system","pituitary gland hyperplasia","Yes","Yes","Yes"
"107","MGI:104565","HGNC:1785","endocrine/exocrine gland phenotype","Pituitary","Abnormality of the endocrine system","pituitary gland hyperplasia","Yes","Yes","Yes"
"108","MGI:104565","HGNC:1785","endocrine/exocrine gland phenotype","Thyroid","Abnormality of the endocrine system","pituitary gland hyperplasia","Yes","Yes","Yes"
"109","MGI:104565","HGNC:1785","endocrine/exocrine gland phenotype","Adrenal Gland","Abnormality of the endocrine system","increased pituitary gland weight","Yes","Yes","Yes"
"110","MGI:104565","HGNC:1785","endocrine/exocrine gland phenotype","Pituitary","Abnormality of the endocrine system","increased pituitary gland weight","Yes","Yes","Yes"
"111","MGI:104565","HGNC:1785","endocrine/exocrine gland phenotype","Thyroid","Abnormality of the endocrine system","increased pituitary gland weight","Yes","Yes","Yes"
"112","MGI:104565","HGNC:1785","endocrine/exocrine gland phenotype","Adrenal Gland","Abnormality of the endocrine system","increased pituitary gland tumor incidence","Yes","Yes","Yes"
"113","MGI:104565","HGNC:1785","endocrine/exocrine gland phenotype","Pituitary","Abnormality of the endocrine system","increased pituitary gland tumor incidence","Yes","Yes","Yes"
"114","MGI:104565","HGNC:1785","endocrine/exocrine gland phenotype","Thyroid","Abnormality of the endocrine system","increased pituitary gland tumor incidence","Yes","Yes","Yes"
"115","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Nucleus accumbens (basal ganglia)","Abnormality of the nervous system","increased pituitary gland tumor incidence","Yes","Yes","Yes"
"116","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Frontal Cortex (BA9)","Abnormality of the nervous system","increased pituitary gland tumor incidence","Yes","Yes","Yes"
"117","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Cortex","Abnormality of the nervous system","increased pituitary gland tumor incidence","Yes","Yes","Yes"
"118","MGI:104565","HGNC:1785","nervous system phenotype","Pituitary","Abnormality of the nervous system","increased pituitary gland tumor incidence","Yes","Yes","Yes"
"119","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Hypothalamus","Abnormality of the nervous system","increased pituitary gland tumor incidence","Yes","Yes","Yes"
"120","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Substantia nigra","Abnormality of the nervous system","increased pituitary gland tumor incidence","Yes","Yes","Yes"
"121","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Hippocampus","Abnormality of the nervous system","increased pituitary gland tumor incidence","Yes","Yes","Yes"
"122","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Cerebellar Hemisphere","Abnormality of the nervous system","increased pituitary gland tumor incidence","Yes","Yes","Yes"
"123","MGI:104565","HGNC:1785","nervous system phenotype","Nerve - Tibial","Abnormality of the nervous system","increased pituitary gland tumor incidence","Yes","Yes","Yes"
"124","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Cerebellum","Abnormality of the nervous system","increased pituitary gland tumor incidence","Yes","Yes","Yes"
"125","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Anterior cingulate cortex (BA24)","Abnormality of the nervous system","increased pituitary gland tumor incidence","Yes","Yes","Yes"
"126","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Spinal cord (cervical c-1)","Abnormality of the nervous system","increased pituitary gland tumor incidence","Yes","Yes","Yes"
"127","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Putamen (basal ganglia)","Abnormality of the nervous system","increased pituitary gland tumor incidence","Yes","Yes","Yes"
"128","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Amygdala","Abnormality of the nervous system","increased pituitary gland tumor incidence","Yes","Yes","Yes"
"129","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Caudate (basal ganglia)","Abnormality of the nervous system","increased pituitary gland tumor incidence","Yes","Yes","Yes"
"130","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Nucleus accumbens (basal ganglia)","Abnormality of the nervous system","increased pituitary gland weight","Yes","Yes","Yes"
"131","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Frontal Cortex (BA9)","Abnormality of the nervous system","increased pituitary gland weight","Yes","Yes","Yes"
"132","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Cortex","Abnormality of the nervous system","increased pituitary gland weight","Yes","Yes","Yes"
"133","MGI:104565","HGNC:1785","nervous system phenotype","Pituitary","Abnormality of the nervous system","increased pituitary gland weight","Yes","Yes","Yes"
"134","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Hypothalamus","Abnormality of the nervous system","increased pituitary gland weight","Yes","Yes","Yes"
"135","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Substantia nigra","Abnormality of the nervous system","increased pituitary gland weight","Yes","Yes","Yes"
"136","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Hippocampus","Abnormality of the nervous system","increased pituitary gland weight","Yes","Yes","Yes"
"137","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Cerebellar Hemisphere","Abnormality of the nervous system","increased pituitary gland weight","Yes","Yes","Yes"
"138","MGI:104565","HGNC:1785","nervous system phenotype","Nerve - Tibial","Abnormality of the nervous system","increased pituitary gland weight","Yes","Yes","Yes"
"139","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Cerebellum","Abnormality of the nervous system","increased pituitary gland weight","Yes","Yes","Yes"
"140","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Anterior cingulate cortex (BA24)","Abnormality of the nervous system","increased pituitary gland weight","Yes","Yes","Yes"
"141","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Spinal cord (cervical c-1)","Abnormality of the nervous system","increased pituitary gland weight","Yes","Yes","Yes"
"142","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Putamen (basal ganglia)","Abnormality of the nervous system","increased pituitary gland weight","Yes","Yes","Yes"
"143","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Amygdala","Abnormality of the nervous system","increased pituitary gland weight","Yes","Yes","Yes"
"144","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Caudate (basal ganglia)","Abnormality of the nervous system","increased pituitary gland weight","Yes","Yes","Yes"
"145","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Nucleus accumbens (basal ganglia)","Abnormality of the nervous system","enlarged pituitary gland","Yes","Yes","Yes"
"146","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Frontal Cortex (BA9)","Abnormality of the nervous system","enlarged pituitary gland","Yes","Yes","Yes"
"147","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Cortex","Abnormality of the nervous system","enlarged pituitary gland","Yes","Yes","Yes"
"148","MGI:104565","HGNC:1785","nervous system phenotype","Pituitary","Abnormality of the nervous system","enlarged pituitary gland","Yes","Yes","Yes"
"149","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Hypothalamus","Abnormality of the nervous system","enlarged pituitary gland","Yes","Yes","Yes"
"150","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Substantia nigra","Abnormality of the nervous system","enlarged pituitary gland","Yes","Yes","Yes"
"151","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Hippocampus","Abnormality of the nervous system","enlarged pituitary gland","Yes","Yes","Yes"
"152","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Cerebellar Hemisphere","Abnormality of the nervous system","enlarged pituitary gland","Yes","Yes","Yes"
"153","MGI:104565","HGNC:1785","nervous system phenotype","Nerve - Tibial","Abnormality of the nervous system","enlarged pituitary gland","Yes","Yes","Yes"
"154","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Cerebellum","Abnormality of the nervous system","enlarged pituitary gland","Yes","Yes","Yes"
"155","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Anterior cingulate cortex (BA24)","Abnormality of the nervous system","enlarged pituitary gland","Yes","Yes","Yes"
"156","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Spinal cord (cervical c-1)","Abnormality of the nervous system","enlarged pituitary gland","Yes","Yes","Yes"
"157","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Putamen (basal ganglia)","Abnormality of the nervous system","enlarged pituitary gland","Yes","Yes","Yes"
"158","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Amygdala","Abnormality of the nervous system","enlarged pituitary gland","Yes","Yes","Yes"
"159","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Caudate (basal ganglia)","Abnormality of the nervous system","enlarged pituitary gland","Yes","Yes","Yes"
"160","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Nucleus accumbens (basal ganglia)","Abnormality of the nervous system","pituitary gland hyperplasia","Yes","Yes","Yes"
"161","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Frontal Cortex (BA9)","Abnormality of the nervous system","pituitary gland hyperplasia","Yes","Yes","Yes"
"162","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Cortex","Abnormality of the nervous system","pituitary gland hyperplasia","Yes","Yes","Yes"
"163","MGI:104565","HGNC:1785","nervous system phenotype","Pituitary","Abnormality of the nervous system","pituitary gland hyperplasia","Yes","Yes","Yes"
"164","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Hypothalamus","Abnormality of the nervous system","pituitary gland hyperplasia","Yes","Yes","Yes"
"165","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Substantia nigra","Abnormality of the nervous system","pituitary gland hyperplasia","Yes","Yes","Yes"
"166","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Hippocampus","Abnormality of the nervous system","pituitary gland hyperplasia","Yes","Yes","Yes"
"167","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Cerebellar Hemisphere","Abnormality of the nervous system","pituitary gland hyperplasia","Yes","Yes","Yes"
"168","MGI:104565","HGNC:1785","nervous system phenotype","Nerve - Tibial","Abnormality of the nervous system","pituitary gland hyperplasia","Yes","Yes","Yes"
"169","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Cerebellum","Abnormality of the nervous system","pituitary gland hyperplasia","Yes","Yes","Yes"
"170","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Anterior cingulate cortex (BA24)","Abnormality of the nervous system","pituitary gland hyperplasia","Yes","Yes","Yes"
"171","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Spinal cord (cervical c-1)","Abnormality of the nervous system","pituitary gland hyperplasia","Yes","Yes","Yes"
"172","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Putamen (basal ganglia)","Abnormality of the nervous system","pituitary gland hyperplasia","Yes","Yes","Yes"
"173","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Amygdala","Abnormality of the nervous system","pituitary gland hyperplasia","Yes","Yes","Yes"
"174","MGI:104565","HGNC:1785","nervous system phenotype","Brain - Caudate (basal ganglia)","Abnormality of the nervous system","pituitary gland hyperplasia","Yes","Yes","Yes"
"175","MGI:104627","HGNC:1090","pigmentation phenotype","Skin - Not Sun Exposed (Suprapubic)","Abnormality of the integument","abnormal skin pigmentation","Yes","Yes","Yes"
